half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2023-10-17 10:00:00,2023-10-17 10:00:00,39.44685,-107.15361,,0.0,0.0,294,RF 9
2023-10-17 11:00:00,2023-10-17 11:00:00,39.44685,-107.15361,2126.9270443355153,0.0,0.0,294,RF 9
2023-10-17 11:30:00,2023-10-17 11:30:00,39.44685,-107.15361,,0.0,0.0,294,RF 9
2023-10-17 12:30:00,2023-10-17 12:30:00,39.44685,-107.15361,2.20726383994205,0.0,0.0,294,RF 9
2023-10-17 13:00:00,2023-10-17 13:00:00,39.44685,-107.15361,2471307511340.6187,0.0,0.0,294,RF 9
2023-10-17 14:30:00,2023-10-17 14:30:00,39.44685,-107.15361,1821.1774664051413,0.0,0.0,294,RF 9
2023-10-17 15:00:00,2023-10-17 15:00:00,39.44685,-107.15361,20683.667680645252,0.0,0.0,294,RF 9
2023-10-17 16:00:00,2023-10-17 16:00:00,39.44685,-107.15361,811.7277096377098,0.0,0.0,294,RF 9
2023-10-17 17:00:00,2023-10-17 17:00:00,39.44685,-107.15361,867.8549447058115,0.0,0.0,294,RF 9
2023-10-17 17:30:00,2023-10-17 17:30:00,39.44685,-107.15361,835.9279517545324,0.0,0.0,294,RF 9
2023-10-17 18:00:00,2023-10-17 18:00:00,39.44685,-107.15361,840.4675779201974,0.0,0.0,294,RF 9
2023-10-17 18:30:00,2023-10-17 18:30:00,39.44685,-107.15361,839.5397883156426,0.0,0.0,294,RF 9
2023-10-17 19:00:00,2023-10-17 19:00:00,39.44685,-107.15361,817.4281476013064,0.0,0.0,294,RF 9
2023-10-17 19:30:00,2023-10-17 19:30:00,39.44685,-107.15361,843.4757829657607,0.0,0.0,294,RF 9
2023-10-17 20:00:00,2023-10-17 20:00:00,39.44685,-107.15361,872.00930602965,0.0,0.0,294,RF 9
2023-10-17 20:30:00,2023-10-17 20:30:00,39.44685,-107.15361,837.8123726098844,0.0,0.0,294,RF 9
2023-10-17 21:00:00,2023-10-17 21:00:00,39.44685,-107.15361,851.7334969699602,0.0,0.0,294,RF 9
2023-10-17 21:30:00,2023-10-17 21:30:00,39.44685,-107.15361,849.2843087229737,0.0,0.0,294,RF 9
2023-10-17 22:00:00,2023-10-17 22:00:00,39.44685,-107.15361,822.1549636344364,0.0,0.0,294,RF 9
2023-10-17 22:30:00,2023-10-17 22:30:00,39.44685,-107.15361,851.3346067060374,0.0,0.0,294,RF 9
2023-10-17 23:00:00,2023-10-17 23:00:00,39.44685,-107.15361,846.6557444470199,0.0,0.0,294,RF 9
2023-10-17 23:30:00,2023-10-17 23:30:00,39.44685,-107.15361,856.4589893316569,0.0,0.0,294,RF 9
2023-10-18 00:00:00,2023-10-18 00:00:00,39.44685,-107.15361,819.0450046181865,0.0,0.0,294,RF 9
2023-10-18 00:30:00,2023-10-18 00:30:00,39.44685,-107.15361,840.8108389872739,0.0,0.0,294,RF 9
2023-10-18 01:00:00,2023-10-18 01:00:00,39.44685,-107.15361,804.7878480047685,0.0,0.0,294,RF 9
2023-10-18 01:30:00,2023-10-18 01:30:00,39.44685,-107.15361,859.5076378495481,0.0,0.0,294,RF 9
2023-10-18 02:00:00,2023-10-18 02:00:00,39.44685,-107.15361,864.9859675121966,0.0,0.0,294,RF 9
2023-10-18 02:30:00,2023-10-18 02:30:00,39.44685,-107.15361,813.1788979850126,0.0,0.0,294,RF 9
2023-10-18 03:00:00,2023-10-18 03:00:00,39.44685,-107.15361,840.5315959831548,0.0,0.0,294,RF 9
2023-10-18 03:30:00,2023-10-18 03:30:00,39.44685,-107.15361,827.4933290848251,0.0,0.0,294,RF 9
2023-10-18 04:00:00,2023-10-18 04:00:00,39.44685,-107.15361,832.3667079957863,0.0,0.0,294,RF 9
2023-10-18 04:30:00,2023-10-18 04:30:00,39.44685,-107.15361,856.2598472159448,0.0,0.0,294,RF 9
2023-10-18 05:00:00,2023-10-18 05:00:00,39.44685,-107.15361,819.0660262332777,0.0,0.0,294,RF 9
2023-10-18 05:30:00,2023-10-18 05:30:00,39.44685,-107.15361,846.6871748717169,0.0,0.0,294,RF 9
