half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2023-06-22 19:00:00,2023-06-22 19:00:00,39.332739,-106.978789,38028.30502878034,0.0,0.0,271,RF5
2023-06-22 19:30:00,2023-06-22 19:30:00,39.332739,-106.978789,38180.51146440785,0.0,0.0,271,RF5
2023-06-23 01:30:00,2023-06-23 01:30:00,39.332739,-106.978789,37642.74644371208,0.0,0.0,271,RF5
2023-06-28 14:00:00,2023-06-28 14:00:00,39.332739,-106.978789,767.4935359470869,0.0,0.0,271,RF5
2023-06-28 14:30:00,2023-06-28 14:30:00,39.332739,-106.978789,749.4341853925099,0.0,0.0,271,RF5
2023-06-30 18:30:00,2023-06-30 18:30:00,39.332739,-106.978789,,0.0,0.0,271,RF5
2023-06-30 19:30:00,2023-06-30 19:30:00,39.332739,-106.978789,1018.7026036947647,0.0,0.0,271,RF5
2023-06-30 20:00:00,2023-06-30 20:00:00,39.332739,-106.978789,975.43346064258,0.0,0.0,271,RF5
2023-06-30 20:30:00,2023-06-30 20:30:00,39.332739,-106.978789,995.7726558645982,0.0,0.0,271,RF5
2023-06-30 21:00:00,2023-06-30 21:00:00,39.332739,-106.978789,995.2376548333218,0.0,0.0,271,RF5
2023-06-30 21:30:00,2023-06-30 21:30:00,39.332739,-106.978789,1005.7344806192032,0.0,0.0,271,RF5
2023-06-30 22:00:00,2023-06-30 22:00:00,39.332739,-106.978789,943.4982994047689,0.0,0.0,271,RF5
2023-06-30 22:30:00,2023-06-30 22:30:00,39.332739,-106.978789,978.2520004804533,0.0,0.0,271,RF5
2023-06-30 23:00:00,2023-06-30 23:00:00,39.332739,-106.978789,991.4188696999973,0.0,0.0,271,RF5
2023-06-30 23:30:00,2023-06-30 23:30:00,39.332739,-106.978789,1007.994497674722,0.0,0.0,271,RF5
2023-07-01 00:00:00,2023-07-01 00:00:00,39.332739,-106.978789,966.6927398310021,0.0,0.0,271,RF5
2023-07-01 00:30:00,2023-07-01 00:30:00,39.332739,-106.978789,971.2472905154269,0.0,0.0,271,RF5
2023-07-01 01:00:00,2023-07-01 01:00:00,39.332739,-106.978789,969.677744729556,0.0,0.0,271,RF5
2023-07-01 01:30:00,2023-07-01 01:30:00,39.332739,-106.978789,1001.6034083949826,0.0,0.0,271,RF5
2023-07-01 02:00:00,2023-07-01 02:00:00,39.332739,-106.978789,997.4855213976657,0.0,0.0,271,RF5
